room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7809672,35885817,Entire home/apt,,Little Italy,0.0,,2.0,1.0,180.0,2.0,32.727045,-117.171033,2015-08-22 18:38:36.255453
3256813,16104039,Private room,,College Area,0.0,,2.0,1.0,165.0,1.0,32.761295,-117.069219,2015-08-22 16:57:19.851644
4830720,24868023,Private room,,University City,1.0,5.0,2.0,1.0,59.0,1.0,32.870233,-117.216917,2015-08-22 17:27:27.332098
5479290,4641823,Entire home/apt,,Midtown,1.0,4.0,,4.0,399.0,,32.732887,-117.167879,2015-08-22 19:50:10.622009
6750836,5304854,Entire home/apt,,La Jolla,1.0,5.0,4.0,2.0,220.0,2.0,32.851105,-117.247195,2015-08-22 18:24:25.373479
5480096,11315693,Entire home/apt,,Mission Bay,5.0,5.0,3.0,1.0,199.0,3.0,32.786876,-117.254405,2015-08-22 18:53:16.058512
4778052,24641179,Private room,,Bay Ho,6.0,4.5,1.0,1.0,46.0,1.0,32.813195,-117.201254,2015-08-22 16:52:07.646991
7146803,27109161,Entire home/apt,,East Village,0.0,,4.0,1.0,500.0,1.0,32.710601,-117.151393,2015-08-22 18:05:37.133457
323711,1657906,Entire home/apt,,Lake Murray,12.0,4.5,2.0,1.0,85.0,1.0,32.795237,-117.009362,2015-08-22 16:50:34.514662
7491974,18678643,Private room,,Mission Bay,0.0,,2.0,1.0,120.0,1.0,32.791305,-117.238851,2015-08-22 17:17:44.855144
7828655,2108691,Entire home/apt,,Midtown,0.0,,2.0,1.0,79.0,2.0,32.742739,-117.162917,2015-08-22 18:19:19.996613
2645690,3774543,Entire home/apt,,Core,30.0,4.5,4.0,1.0,199.0,3.0,32.717471,-117.156317,2015-08-22 16:50:34.514662
1284097,1092945,Entire home/apt,,East Village,2.0,4.0,4.0,1.0,125.0,1.0,32.71238,-117.155609,2015-08-22 18:05:37.107529
7011647,9315299,Private room,,Scripps Ranch,4.0,5.0,2.0,1.0,45.0,1.0,32.930708,-117.093061,2015-08-22 17:09:40.519679
1328311,1772942,Entire home/apt,,Balboa Park,4.0,5.0,2.0,1.0,175.0,4.0,32.728724,-117.130742,2015-08-22 16:50:34.514662
5138056,26417080,Entire home/apt,,East Village,22.0,4.5,2.0,1.0,130.0,2.0,32.713339,-117.159219,2015-08-22 18:05:24.870142
3644214,18404050,Entire home/apt,,Del Mar Heights,26.0,5.0,,4.0,350.0,,32.938331,-117.255862,2015-08-22 16:50:34.514662
3593229,14819932,Entire home/apt,,North Hills,10.0,5.0,2.0,0.0,125.0,2.0,32.742623,-117.128459,2015-08-22 16:50:34.514662
6203399,32172045,Entire home/apt,,Clairemont Mesa,0.0,,3.0,2.0,99.0,7.0,32.830207,-117.194231,2015-08-22 19:23:49.827843
933873,3677994,Private room,,Linda Vista,19.0,5.0,2.0,1.0,59.0,3.0,32.789304,-117.181051,2015-08-22 16:50:34.514662
2917769,14900495,Entire home/apt,,Mission Bay,17.0,4.5,,3.0,350.0,3.0,32.766251,-117.251992,2015-08-22 16:50:34.514662
3668303,17983666,Entire home/apt,,East Village,1.0,4.0,2.0,0.0,150.0,1.0,32.709718,-117.151373,2015-08-22 16:50:34.514662
7620506,24114081,Private room,,North Clairemont,0.0,,2.0,1.0,69.0,1.0,32.839115,-117.18061,2015-08-22 17:14:21.261326
190734,873919,Entire home/apt,,Mission Bay,17.0,5.0,,2.0,325.0,3.0,32.789336,-117.255348,2015-08-22 16:50:34.514662
6573679,34382394,Entire home/apt,,Columbia,1.0,5.0,3.0,1.0,199.0,1.0,32.716998,-117.169359,2015-08-22 17:58:01.306281
7201352,37674526,Private room,,Mission Valley,9.0,5.0,2.0,1.0,99.0,1.0,32.773316,-117.149584,2015-08-22 17:11:49.360332
6375746,22251801,Entire home/apt,,Mission Bay,1.0,4.0,,3.0,295.0,3.0,32.787233,-117.252804,2015-08-22 18:53:33.988149
7154916,31462844,Private room,,Midtown,7.0,4.5,2.0,1.0,85.0,1.0,32.735094,-117.161801,2015-08-22 17:20:01.027226
4112735,6292295,Entire home/apt,,Roseville,33.0,5.0,2.0,1.0,139.0,2.0,32.72455,-117.236782,2015-08-22 16:50:34.514662
6424428,33518665,Private room,,West University Heights,5.0,5.0,2.0,1.0,75.0,1.0,32.755889,-117.150087,2015-08-22 17:28:11.339701
182428,874515,Entire home/apt,,Mission Bay,2.0,5.0,4.0,0.0,174.0,3.0,32.764739,-117.2516,2015-08-22 16:50:34.514662
2081458,8653869,Private room,,La Jolla,14.0,5.0,2.0,1.0,390.0,1.0,32.842966,-117.275487,2015-08-22 16:50:34.514662
4910008,25283240,Private room,,Rancho Penasquitos,3.0,5.0,2.0,1.0,50.0,1.0,32.9562,-117.123291,2015-08-22 17:21:54.453138
7416609,2844611,Private room,,Pacific Beach,0.0,,2.0,1.0,79.0,,32.795197,-117.246049,2015-08-22 17:18:02.071796
4737509,7786850,Private room,,Carmel Valley,23.0,5.0,4.0,1.0,89.0,1.0,32.9233,-117.233439,2015-08-22 16:54:55.175404
6767766,759901,Entire home/apt,,Little Italy,5.0,5.0,5.0,2.0,225.0,2.0,32.726329,-117.16811,2015-08-22 18:38:42.038173
