room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7986203,28278854,Entire home/apt,,Talmadge,2,,4,,225.0,3.0,32.761725,-117.090977,2016-11-25 05:57:31.538490
3406044,17178936,Private room,,Tierrasanta,1,,2,,120.0,2.0,32.825234,-117.082146,2016-11-25 05:57:17.823488
12091568,64701404,Private room,,Marina,1,,2,,195.0,1.0,32.714562,-117.167344,2016-11-25 05:57:14.086678
5609077,11692963,Entire home/apt,,Gaslamp Quarter,97,4.5,2,,99.0,1.0,32.714028,-117.159567,2016-11-25 05:57:15.382441
11554069,23794775,Entire home/apt,,East Village,10,4.0,7,,99.0,,32.710202,-117.151029,2016-11-25 05:57:11.258674
449781,2234087,Entire home/apt,,Old Town,0,,4,,300.0,1.0,32.74451,-117.180585,2016-11-25 05:57:09.631723
14039389,66371345,Private room,,Bay Ho,0,,2,,150.0,1.0,32.827523,-117.22584,2016-11-25 05:57:07.221450
13332539,1972686,Private room,,Balboa Park,1,,2,,50.0,,32.716302,-117.129981,2016-11-25 05:57:05.946035
591575,2919820,Entire home/apt,,La Jolla,8,5.0,6,,365.0,3.0,32.829352,-117.278785,2016-11-25 05:57:05.812323
15216228,96442301,Entire home/apt,,North Hills,0,,1,,79.0,1.0,32.759309,-117.133887,2016-11-25 05:57:03.296573
2201627,1315611,Entire home/apt,,Park West,29,5.0,16,,825.0,1.0,32.725517,-117.16209,2016-11-25 05:56:54.574377
3801623,19529459,Entire home/apt,,Loma Portal,130,5.0,4,,99.0,3.0,32.752183,-117.239571,2016-11-25 05:56:52.803938
14855814,26427843,Private room,,North Hills,1,,2,,60.0,2.0,32.731026,-117.115279,2016-11-25 05:56:49.578958
5512680,2605710,Private room,,West University Heights,115,5.0,2,,60.0,2.0,32.759388,-117.155387,2016-11-25 05:56:48.688766
14014490,13348048,Entire home/apt,,East Village,0,,3,,450.0,2.0,32.71182,-117.155091,2016-11-25 05:56:41.041869
10591670,54392459,Entire home/apt,,University City,44,4.5,6,,171.0,1.0,32.863798,-117.206034,2016-11-25 05:56:41.317163
12509704,25845795,Private room,,East Village,14,5.0,2,,95.0,1.0,32.708842,-117.149763,2016-11-25 05:56:36.565403
3458845,975389,Private room,,Old Town,3,3.5,1,,59.0,3.0,32.749895,-117.193708,2016-11-25 05:56:32.790348
14828586,11692963,Entire home/apt,,East Village,11,4.5,4,,110.0,,32.71116,-117.157177,2016-11-25 05:56:31.181295
5794444,30060774,Entire home/apt,,North Hills,8,4.5,4,,154.0,2.0,32.764947,-117.129221,2016-11-25 05:56:25.998147
13574215,38458285,Entire home/apt,,Normal Heights,6,5.0,4,,99.0,,32.770645,-117.120267,2016-11-25 05:56:23.754324
13497154,24843232,Entire home/apt,,Pacific Beach,26,4.5,8,,199.0,1.0,32.801832,-117.231645,2016-11-25 05:56:26.961835
15358561,12243051,Entire home/apt,,Pacific Beach,0,,7,,149.0,,32.801234,-117.25031,2016-11-25 05:56:20.681418
9369467,37353287,Entire home/apt,,Pacific Beach,2,,3,,222.0,4.0,32.802921,-117.258943,2016-11-25 05:56:19.704997
