year,geo_name,geo,income
2015,"Census Tract 89.01","14000US06073008901",69783.0
2013,"Census Tract 90","14000US06073009000",56311.0
2014,"Census Tract 90","14000US06073009000",46061.0
2015,"Census Tract 90","14000US06073009000",42214.0
2013,"Census Tract 91.01","14000US06073009101",69856.0
2014,"Census Tract 91.01","14000US06073009101",83750.0
2015,"Census Tract 91.01","14000US06073009101",87796.0
2013,"Census Tract 9901","14000US06073990100",None
2014,"Census Tract 9901","14000US06073990100",None
2015,"Census Tract 9901","14000US06073990100",None
2013,"Census Tract 215","14000US06073021500",161393.0
2014,"Census Tract 215","14000US06073021500",172846.0
2015,"Census Tract 215","14000US06073021500",177589.0
2013,"Census Tract 171.10","14000US06073017110",89287.0
2014,"Census Tract 171.10","14000US06073017110",97866.0
2015,"Census Tract 171.10","14000US06073017110",124861.0
2013,"Census Tract 4","14000US06073000400",61716.0
2014,"Census Tract 4","14000US06073000400",68488.0
2015,"Census Tract 4","14000US06073000400",68099.0
2013,"Census Tract 214","14000US06073021400",63520.0
2014,"Census Tract 214","14000US06073021400",62727.0
2015,"Census Tract 214","14000US06073021400",59024.0
2013,"Census Tract 5","14000US06073000500",57024.0
2014,"Census Tract 5","14000US06073000500",54908.0
2015,"Census Tract 5","14000US06073000500",56750.0
2013,"Census Tract 3","14000US06073000300",58663.0
2014,"Census Tract 3","14000US06073000300",61679.0
2015,"Census Tract 3","14000US06073000300",72979.0
2013,"Census Tract 6","14000US06073000600",62950.0
2014,"Census Tract 6","14000US06073000600",55915.0
2015,"Census Tract 6","14000US06073000600",55925.0
2013,"Census Tract 99.01","14000US06073009901",None
2014,"Census Tract 99.01","14000US06073009901",None
2015,"Census Tract 99.01","14000US06073009901",None
2013,"Census Tract 59","14000US06073005900",48549.0
2014,"Census Tract 59","14000US06073005900",51922.0
2015,"Census Tract 59","14000US06073005900",58818.0
2013,"Census Tract 76","14000US06073007600",57703.0
2014,"Census Tract 76","14000US06073007600",57250.0
2015,"Census Tract 76","14000US06073007600",57083.0
2013,"Census Tract 62","14000US06073006200",None
2014,"Census Tract 62","14000US06073006200",None
2015,"Census Tract 62","14000US06073006200",None
2013,"Census Tract 83.03","14000US06073008303",134261.0
2014,"Census Tract 83.03","14000US06073008303",122375.0
2015,"Census Tract 83.03","14000US06073008303",131681.0
2013,"Census Tract 7","14000US06073000700",57485.0
2014,"Census Tract 7","14000US06073000700",68977.0
2015,"Census Tract 7","14000US06073000700",72177.0
2013,"Census Tract 8","14000US06073000800",41811.0
2014,"Census Tract 8","14000US06073000800",45169.0
2015,"Census Tract 8","14000US06073000800",51164.0
2013,"Census Tract 9","14000US06073000900",46214.0
2014,"Census Tract 9","14000US06073000900",46079.0
2015,"Census Tract 9","14000US06073000900",45377.0
2013,"Census Tract 10","14000US06073001000",54163.0
2014,"Census Tract 10","14000US06073001000",62619.0
2015,"Census Tract 10","14000US06073001000",65863.0
2013,"Census Tract 11","14000US06073001100",50256.0
2014,"Census Tract 11","14000US06073001100",48574.0
2015,"Census Tract 11","14000US06073001100",53167.0
2013,"Census Tract 13","14000US06073001300",41865.0
2014,"Census Tract 13","14000US06073001300",45607.0
2015,"Census Tract 13","14000US06073001300",46161.0
2013,"Census Tract 14","14000US06073001400",61146.0
2014,"Census Tract 14","14000US06073001400",69602.0
2015,"Census Tract 14","14000US06073001400",61164.0
2013,"Census Tract 12","14000US06073001200",42639.0
2014,"Census Tract 12","14000US06073001200",42668.0
2015,"Census Tract 12","14000US06073001200",42379.0
2013,"Census Tract 83.35","14000US06073008335",148478.0
2014,"Census Tract 83.35","14000US06073008335",149085.0
2015,"Census Tract 83.35","14000US06073008335",146944.0
2013,"Census Tract 89.02","14000US06073008902",59085.0
2014,"Census Tract 89.02","14000US06073008902",57500.0
2015,"Census Tract 89.02","14000US06073008902",57642.0
2013,"Census Tract 71","14000US06073007100",121295.0
2014,"Census Tract 71","14000US06073007100",132250.0
2015,"Census Tract 71","14000US06073007100",120523.0
2013,"Census Tract 68.02","14000US06073006802",60915.0
2014,"Census Tract 68.02","14000US06073006802",65403.0
2015,"Census Tract 68.02","14000US06073006802",67653.0
2013,"Census Tract 83.47","14000US06073008347",100264.0
2014,"Census Tract 83.47","14000US06073008347",101953.0
2015,"Census Tract 83.47","14000US06073008347",99300.0
2013,"Census Tract 50","14000US06073005000",24637.0
2014,"Census Tract 50","14000US06073005000",25144.0
2015,"Census Tract 50","14000US06073005000",24044.0
2013,"Census Tract 171.06","14000US06073017106",117083.0
2014,"Census Tract 171.06","14000US06073017106",99275.0
2015,"Census Tract 171.06","14000US06073017106",105083.0
2013,"Census Tract 83.13","14000US06073008313",138977.0
2014,"Census Tract 83.13","14000US06073008313",161458.0
2015,"Census Tract 83.13","14000US06073008313",171094.0
2013,"Census Tract 68.01","14000US06073006801",56307.0
2014,"Census Tract 68.01","14000US06073006801",51912.0
2015,"Census Tract 68.01","14000US06073006801",56464.0
2013,"Census Tract 170.29","14000US06073017029",136360.0
2014,"Census Tract 170.29","14000US06073017029",138250.0
2015,"Census Tract 170.29","14000US06073017029",147305.0
2013,"Census Tract 66","14000US06073006600",50208.0
2014,"Census Tract 66","14000US06073006600",51625.0
2015,"Census Tract 66","14000US06073006600",52340.0
2013,"Census Tract 83.10","14000US06073008310",137939.0
2014,"Census Tract 83.10","14000US06073008310",168145.0
2015,"Census Tract 83.10","14000US06073008310",150048.0
2013,"Census Tract 91.03","14000US06073009103",88041.0
2014,"Census Tract 91.03","14000US06073009103",84300.0
2015,"Census Tract 91.03","14000US06073009103",83563.0
2013,"Census Tract 83.28","14000US06073008328",165893.0
2014,"Census Tract 83.28","14000US06073008328",168281.0
2015,"Census Tract 83.28","14000US06073008328",186738.0
2013,"Census Tract 65","14000US06073006500",31495.0
2014,"Census Tract 65","14000US06073006500",31651.0
2015,"Census Tract 65","14000US06073006500",36686.0
2013,"Census Tract 83.05","14000US06073008305",44390.0
2014,"Census Tract 83.05","14000US06073008305",44131.0
2015,"Census Tract 83.05","14000US06073008305",41250.0
2013,"Census Tract 45.01","14000US06073004501",47625.0
2014,"Census Tract 45.01","14000US06073004501",49572.0
