USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06037123104	781693	0	0.302	0.	34.1828906	-118.3650028                                                                                                                                                
CA	06037123203	583709	3900	0.225	0.002	34.1967006	-118.3916113                                                                                                                                          
CA	06037123204	324206	0	0.125	0.	34.193936	-118.3943295                                                                                                                                                 
CA	06037123205	757734	0	0.293	0.	34.1945637	-118.3835614                                                                                                                                                
CA	06037123206	602849	0	0.233	0.	34.1937075	-118.3748665                                                                                                                                                
CA	06037123301	1303487	0	0.503	0.	34.2003096	-118.4001219                                                                                                                                               
CA	06037123303	633404	0	0.245	0.	34.1972751	-118.4116037                                                                                                                                                
CA	06037123304	879083	0	0.339	0.	34.1965389	-118.4060882                                                                                                                                                
CA	06037123410	488725	8391	0.189	0.003	34.1993793	-118.4214325                                                                                                                                          
CA	06037123420	778597	8126	0.301	0.003	34.193033	-118.4146718                                                                                                                                           
CA	06037123510	788312	10153	0.304	0.004	34.1953384	-118.4290714                                                                                                                                         
CA	06037123520	502130	8704	0.194	0.003	34.1884912	-118.423608                                                                                                                                           
CA	06037123601	1504231	28231	0.581	0.011	34.1774941	-118.4162038                                                                                                                                        
CA	06037123602	927745	0	0.358	0.	34.1812199	-118.4263255                                                                                                                                                
CA	06037123700	952358	0	0.368	0.	34.1848596	-118.4095169                                                                                                                                                
CA	06037123800	1290040	0	0.498	0.	34.179739	-118.4014358                                                                                                                                                
