room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13240078,59288163,Entire home/apt,,University City,2,,7,2.0,300.0,4.0,32.865989,-117.22209,2016-09-19 07:50:28.897036
2910056,14867652,Entire home/apt,,Ocean Beach,10,4.0,4,2.0,259.0,3.0,32.742801,-117.250507,2016-09-19 07:50:25.231265
14301156,70331063,Entire home/apt,,La Jolla,0,,5,2.0,250.0,,32.850472,-117.254186,2016-09-19 07:50:24.275896
6749388,4431872,Entire home/apt,,Old Town,54,5.0,2,1.0,110.0,2.0,32.743701,-117.181919,2016-09-19 07:50:17.012499
6155186,10173646,Private room,,Pacific Beach,0,,2,1.0,200.0,1.0,32.806258,-117.252719,2016-09-19 07:50:10.369601
8390681,44211756,Entire home/apt,,La Jolla,0,,9,4.0,393.0,5.0,32.828155,-117.274364,2016-09-19 07:50:06.435108
11739337,12580136,Entire home/apt,,La Jolla,9,5.0,2,0.0,175.0,3.0,32.832768,-117.278327,2016-09-19 07:50:00.178272
14352038,4372148,Entire home/apt,,La Jolla,0,,6,2.0,200.0,3.0,32.849612,-117.273821,2016-09-19 07:50:00.075189
5693929,17168667,Entire home/apt,,Ocean Beach,66,5.0,3,1.0,88.0,,32.750702,-117.24929,2016-09-19 07:49:57.687735
7699826,40445990,Private room,,Balboa Park,5,5.0,2,1.0,75.0,1.0,32.72813,-117.129845,2016-09-19 07:49:50.967664
5657222,2359450,Entire home/apt,,Del Mar Heights,22,5.0,4,1.0,135.0,1.0,32.949425,-117.24618,2016-09-19 07:49:48.762808
11974144,62889207,Entire home/apt,,Little Italy,1,,3,1.0,130.0,2.0,32.724729,-117.167259,2016-09-19 07:49:45.539992
13329583,12243051,Entire home/apt,,Pacific Beach,1,,2,0.0,109.0,3.0,32.808313,-117.258888,2016-09-19 07:49:27.207410
13546552,33003397,Private room,,Jomacha-Lomita,15,5.0,3,1.0,45.0,1.0,32.716861,-117.031715,2016-09-19 07:49:26.554628
13433960,24843232,Entire home/apt,,Pacific Beach,14,4.5,7,2.0,162.0,1.0,32.801668,-117.23192,2016-09-19 07:49:22.792275
7232809,37869873,Private room,,Memorial,0,,2,1.0,300.0,1.0,32.699391,-117.137158,2016-09-19 07:49:16.541908
