room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5570,8435,Entire home/apt,,Mission Bay,0,,6,2.0,224.0,1,32.784216,-117.252601,2014-05-25 15:36:52.982
8095,270,Entire home/apt,,Ocean Beach,118,5.0,2,,77.0,2,32.73517,-117.243793,2014-05-25 15:22:10.890
8488,25186,Entire home/apt,,South Park,29,5.0,4,2.0,280.0,2,32.728386,-117.128238,2014-05-25 14:22:38.609
9553,31656,Private room,,North Hills,2,5.0,2,1.0,112.0,1,32.753266,-117.141208,2014-05-25 14:37:52.088
14668,57636,Private room,,Mira Mesa,120,5.0,2,1.0,69.0,1,32.931104,-117.152685,2014-05-25 14:36:11.889
35989,154512,Entire home/apt,,South Park,58,5.0,3,1.0,151.0,7,32.724052,-117.128512,2014-05-25 15:18:15.152
38245,164137,Private room,,Roseville,51,4.5,2,1.0,62.0,1,32.74202,-117.218701,2014-05-25 14:45:12.250
39516,169649,Private room,,North Hills,127,5.0,2,1.0,73.0,3,32.731884,-117.11918,2014-05-25 14:42:13.922
45429,197919,Entire home/apt,,Loma Portal,5,4.5,2,1.0,179.0,2,32.748768,-117.229371,2014-05-25 15:05:44.880
54001,252692,Private room,,La Jolla,34,5.0,2,1.0,140.0,1,32.812293,-117.267067,2014-05-25 15:57:50.348
62274,302986,Private room,,Pacific Beach,158,5.0,2,1.0,100.0,2,32.807337,-117.242432,2014-05-25 14:33:21.153
62949,21532,Entire home/apt,,Pacific Beach,34,5.0,2,1.0,73.0,2,32.809612,-117.230563,2014-05-25 15:51:52.244
63285,250517,Private room,,Clairemont Mesa,1,,2,1.0,34.0,3,32.812882,-117.176988,2014-05-25 14:28:22.951
69385,347408,Entire home/apt,,Mission Bay,58,5.0,6,3.0,280.0,3,32.786525,-117.254399,2014-05-25 14:10:06.877
72005,370703,Entire home/apt,,Loma Portal,22,5.0,4,2.0,134.0,2,32.740764,-117.233006,2014-05-25 14:34:01.406
75668,401936,Private room,,North Hills,55,5.0,2,1.0,50.0,1,32.747304,-117.144234,2014-05-25 15:17:17.530
79300,401936,Private room,,North Hills,57,5.0,2,1.0,56.0,1,32.745938,-117.144059,2014-05-25 15:37:40.115
80164,432947,Private room,,Pacific Beach,91,5.0,2,1.0,123.0,2,32.802857,-117.258,2014-05-25 14:21:29.956
103416,252692,Private room,,La Jolla,34,5.0,1,1.0,118.0,1,32.812845,-117.267013,2014-05-25 16:01:09.385
103417,252692,Private room,,La Jolla,9,5.0,2,1.0,123.0,1,32.81291,-117.265364,2014-05-25 16:01:54.596
103420,252692,Private room,,La Jolla,20,4.5,2,1.0,196.0,1,32.81235,-117.265578,2014-05-25 16:02:52.963
103720,507423,Private room,,Midtown,7,5.0,2,1.0,144.0,1,32.74759,-117.164272,2014-05-25 14:22:54.812
108349,546519,Entire home/apt,,Pacific Beach,22,4.5,8,3.0,212.0,2,32.796597,-117.253287,2014-05-25 14:31:09.746
112192,567936,Private room,,Rancho Bernadino,0,,1,1.0,106.0,3,33.027337,-117.090637,2014-05-25 14:32:23.750
116427,7074695,Entire home/apt,,Clairemont Mesa,18,5.0,4,0.0,88.0,5,32.820387,-117.175159,2014-05-25 15:40:58.591
117896,470998,Private room,,La Jolla,96,5.0,2,1.0,100.0,1,32.810697,-117.261092,2014-05-25 15:12:22.657
119063,601369,Entire home/apt,,Pacific Beach,9,5.0,2,1.0,199.0,3,32.797573,-117.247404,2014-05-25 14:16:13.297
119141,601620,Private room,,Midtown,24,5.0,2,1.0,84.0,2,32.731676,-117.166088,2014-05-25 14:45:16.075
122458,31656,Private room,,North Hills,3,5.0,2,1.0,112.0,1,32.754332,-117.141647,2014-05-25 14:41:14.217
126344,546519,Entire home/apt,,Pacific Beach,35,5.0,8,3.0,223.0,2,32.805716,-117.259359,2014-05-25 15:12:30.361
133922,432947,Entire home/apt,,Pacific Beach,0,,2,2.0,279.0,7,32.80649,-117.260245,2014-05-25 14:20:18.225
134731,660996,Private room,,Del Mar Heights,39,5.0,2,1.0,134.0,3,32.934465,-117.248331,2014-05-25 14:35:47.360
141523,686496,Entire home/apt,,Ocean Beach,82,5.0,2,1.0,111.0,2,32.75057,-117.246835,2014-05-25 15:43:45.037
146332,707941,Shared room,,North Hills,5,4.5,3,1.0,78.0,2,32.753377,-117.127248,2014-05-25 15:20:47.774
146886,710122,Entire home/apt,,Grant Hill,3,4.5,3,1.0,100.0,7,32.708034,-117.143405,2014-05-25 15:38:37.977
149548,721326,Private room,,Bay Park,28,5.0,1,1.0,50.0,3,32.801565,-117.200929,2014-05-25 14:24:13.581
149565,721326,Entire home/apt,,Bay Park,25,4.5,5,2.0,111.0,3,32.801487,-117.201372,2014-05-25 14:30:58.139
154522,743294,Entire home/apt,,La Jolla,7,4.5,5,2.0,168.0,5,32.826593,-117.275378,2014-05-25 15:19:54.399
160488,768726,Private room,,La Jolla,15,5.0,6,1.0,100.0,5,32.859447,-117.254875,2014-05-25 15:53:43.397
161818,773869,Private room,,Midtown,36,5.0,2,1.0,73.0,1,32.741825,-117.178747,2014-05-25 14:16:56.239
165680,789801,Entire home/apt,,Little Italy,39,5.0,3,1.0,140.0,2,32.725138,-117.166208,2014-05-25 14:25:56.396
165967,790976,Entire home/apt,,West University Heights,108,5.0,2,0.0,134.0,2,32.751734,-117.152838,2014-05-25 14:37:24.643
166787,731698,Entire home/apt,,Wooded Area,56,4.5,3,0.0,104.0,3,32.719076,-117.23071,2014-05-25 15:10:59.728
167022,795905,Private room,,Mission Bay,98,5.0,2,1.0,45.0,2,32.794869,-117.234334,2014-05-25 15:02:44.652
167760,799669,Private room,,Mira Mesa,20,5.0,1,1.0,56.0,1,32.911035,-117.130199,2014-05-25 14:37:37.054
168415,766039,Private room,,Bird Land,11,5.0,2,1.0,66.0,2,32.782483,-117.159425,2014-05-25 15:49:11.784
170421,799669,Private room,,Mira Mesa,10,5.0,1,1.0,67.0,1,32.911227,-117.130991,2014-05-25 15:31:48.923
170928,766039,Entire home/apt,,Bird Land,6,5.0,4,2.0,185.0,3,32.782041,-117.160871,2014-05-25 15:29:47.802
171147,687777,Entire home/apt,,North Hills,7,5.0,6,3.0,252.0,2,32.735771,-117.128659,2014-05-25 15:13:38.211
172128,724310,Entire home/apt,,South Park,50,5.0,12,5.0,280.0,3,32.721424,-117.127175,2014-05-25 14:43:40.902
172519,164137,Private room,,Roseville,22,4.5,2,1.0,68.0,1,32.741291,-117.218528,2014-05-25 15:53:08.113
172705,799669,Entire home/apt,,Mira Mesa,14,4.5,10,4.0,185.0,3,32.910495,-117.129236,2014-05-25 15:23:07.717
174015,831158,Entire home/apt,,Mission Bay,110,4.5,2,1.0,134.0,1,32.783329,-117.252621,2014-05-25 15:35:48.142
175119,836963,Private room,,Talmadge,46,5.0,3,1.0,73.0,1,32.765419,-117.088131,2014-05-25 14:13:29.842
176588,2139569,Entire home/apt,,Moreno Mission,36,4.5,4,1.0,144.0,3,32.772456,-117.202332,2014-05-25 15:41:18.297
181283,861297,Entire home/apt,,Balboa Park,8,4.5,4,1.0,140.0,2,32.716382,-117.138114,2014-05-25 14:21:17.673
182314,873919,Entire home/apt,,Mission Bay,6,5.0,8,1.0,312.0,3,32.789447,-117.254968,2014-05-25 14:23:54.417
182428,874515,Entire home/apt,,Mission Bay,1,4.5,4,0.0,214.0,3,32.764739,-117.2516,2014-05-25 15:21:01.147
182431,874515,Entire home/apt,,Mission Bay,1,5.0,6,2.0,388.0,4,32.788744,-117.253623,2014-05-25 15:22:41.456
182504,874971,Entire home/apt,,Midtown,83,5.0,4,2.0,196.0,3,32.742794,-117.166803,2014-05-25 15:54:07.295
182555,31656,Private room,,North Hills,4,4.5,2,1.0,112.0,1,32.750592,-117.139164,2014-05-25 14:17:38.395
184238,883704,Entire home/apt,,Loma Portal,56,5.0,4,1.0,196.0,3,32.740977,-117.24471,2014-05-25 15:28:54.321
188728,873919,Entire home/apt,,Mission Bay,4,5.0,10,2.0,364.0,3,32.7894,-117.254944,2014-05-25 14:29:30.731
189785,915738,Private room,,La Jolla,4,5.0,3,1.0,92.0,3,32.80963,-117.26708,2014-05-25 14:40:35.481
190179,831158,Entire home/apt,,Mission Bay,25,5.0,2,1.0,196.0,2,32.782482,-117.251686,2014-05-25 15:51:03.188
190225,918513,Entire home/apt,,La Jolla,5,5.0,12,5.0,644.0,4,32.840609,-117.269016,2014-05-25 14:14:23.621
190291,572859,Private room,,Normal Heights,63,5.0,2,1.0,62.0,2,32.755828,-117.112803,2014-05-25 14:38:51.157
190734,873919,Entire home/apt,,Mission Bay,8,4.5,10,2.0,364.0,3,32.789336,-117.255348,2014-05-25 14:12:57.933
191192,724310,Private room,,South Park,11,5.0,3,1.0,84.0,2,32.721349,-117.127844,2014-05-25 15:46:18.542
193334,937246,Private room,,Kearny Mesa,50,5.0,3,1.0,43.0,2,32.840264,-117.170963,2014-05-25 14:28:47.804
193368,937246,Private room,,North Clairemont,8,5.0,1,1.0,47.0,2,32.83509,-117.170073,2014-05-25 14:40:18.706
197713,964217,Entire home/apt,,Mission Bay,10,5.0,2,1.0,168.0,1,32.791634,-117.236299,2014-05-25 14:37:44.863
198086,966440,Entire home/apt,,Pacific Beach,30,5.0,4,1.0,134.0,1,32.801021,-117.225501,2014-05-25 15:38:29.687
198692,947422,Entire home/apt,,Balboa Park,12,4.5,2,1.0,140.0,3,32.718108,-117.135645,2014-05-25 14:21:24.945
202803,993621,Entire home/apt,,East Village,0,,2,1.0,73.0,5,32.710043,-117.150862,2014-05-25 14:27:14.059
203528,975389,Private room,,Old Town,1,,2,1.0,144.0,2,32.75143,-117.192975,2014-05-25 14:09:52.429
204211,1002692,Entire home/apt,,University City,7,4.5,12,5.0,420.0,3,32.854074,-117.214598,2014-05-25 15:30:53.666
205703,874159,Entire home/apt,,Midtown,112,5.0,2,1.0,78.0,3,32.746316,-117.150768,2014-05-25 15:11:56.352
205775,1012017,Entire home/apt,,West University Heights,9,4.5,4,2.0,123.0,2,32.760153,-117.141674,2014-05-25 15:41:56.011
208181,1024583,Private room,,Del Mar Heights,2,3.5,1,1.0,67.0,1,32.947469,-117.247194,2014-05-25 14:27:57.940
208757,1028043,Entire home/apt,,Pacific Beach,34,5.0,5,2.0,257.0,3,32.804275,-117.254111,2014-05-25 15:05:43.224
213653,660996,Entire home/apt,,Del Mar Heights,4,5.0,11,4.0,616.0,3,32.934296,-117.248086,2014-05-25 15:17:58.934
222817,1156979,Private room,,Oak Park,77,5.0,2,1.0,34.0,3,32.729886,-117.072713,2014-05-25 14:43:52.136
223972,1117735,Entire home/apt,,Pacific Beach,15,4.5,3,1.0,151.0,2,32.794003,-117.240351,2014-05-25 15:51:20.431
224140,931501,Entire home/apt,,Balboa Park,15,4.5,5,1.0,114.0,2,32.716809,-117.13951,2014-05-25 15:14:04.777
224171,1166392,Shared room,,Midtown,64,5.0,2,1.0,49.0,1,32.744207,-117.159701,2014-05-25 15:27:29.713
224716,1169815,Entire home/apt,,Loma Portal,0,,10,2.0,420.0,3,32.744159,-117.245745,2014-05-25 15:41:12.688
227691,28107,Entire home/apt,,Little Italy,21,5.0,4,2.0,280.0,2,32.722846,-117.171475,2014-05-25 14:47:36.632
233413,1221758,Entire home/apt,,Del Mar Heights,3,4.5,2,1.0,129.0,3,32.93523,-117.251828,2014-05-25 15:38:17.200
237069,1242892,Private room,,Mission Bay,10,5.0,2,1.0,88.0,3,32.785249,-117.236535,2014-05-25 14:12:33.391
237962,572859,Entire home/apt,,Normal Heights,20,5.0,6,2.0,140.0,2,32.757091,-117.113946,2014-05-25 15:13:24.958
241210,1265742,Private room,,North Hills,18,5.0,1,1.0,67.0,1,32.757343,-117.136687,2014-05-25 14:30:15.444
244653,1152915,Private room,,Southcrest,3,4.5,1,1.0,64.0,1,32.695862,-117.102894,2014-05-25 15:28:28.877
246141,360575,Entire home/apt,,East Village,12,5.0,3,1.0,269.0,3,32.709601,-117.157079,2014-05-25 15:08:56.754
246264,1291828,Entire home/apt,,Linda Vista,13,5.0,2,1.0,72.0,4,32.795278,-117.174863,2014-05-25 16:01:20.600
249119,1270480,Private room,,North Hills,8,5.0,2,1.0,90.0,3,32.750246,-117.128747,2014-05-25 14:19:14.900
252289,861840,Entire home/apt,,Old Town,79,5.0,2,1.0,173.0,2,32.752958,-117.177578,2014-05-25 15:10:20.983
256585,1349966,Private room,,Park West,44,5.0,2,1.0,106.0,2,32.727839,-117.161024,2014-05-25 14:35:19.687
259573,1362707,Entire home/apt,,Old Town,3,4.5,13,5.0,487.0,3,32.75592,-117.190043,2014-05-25 15:59:34.570
264938,873919,Entire home/apt,,Mission Bay,2,5.0,10,2.0,364.0,3,32.789362,-117.253399,2014-05-25 15:54:37.929
269843,766039,Private room,,Bird Land,37,4.5,2,1.0,73.0,2,32.781251,-117.159972,2014-05-25 14:14:44.505
270914,1374526,Entire home/apt,,Little Italy,92,4.5,6,2.0,151.0,2,32.72212,-117.168215,2014-05-25 14:33:01.796
272822,1427811,Private room,,Darnall,5,5.0,4,1.0,56.0,1,32.750407,-117.066134,2014-05-25 15:32:11.705
273134,766039,Private room,,Bird Land,30,5.0,2,1.0,88.0,2,32.781332,-117.160723,2014-05-25 15:56:13.629
274943,710122,Entire home/apt,,Grant Hill,4,4.5,2,1.0,88.0,7,32.709222,-117.143337,2014-05-25 16:03:48.477
275539,710122,Entire home/apt,,Grant Hill,4,5.0,2,1.0,100.0,7,32.708622,-117.142664,2014-05-25 14:38:36.446
275557,710122,Entire home/apt,,Grant Hill,2,4.5,3,1.0,88.0,7,32.708076,-117.144054,2014-05-25 14:44:52.544
275560,710122,Entire home/apt,,Grant Hill,2,5.0,3,1.0,100.0,7,32.70922,-117.142288,2014-05-25 14:46:18.456
275566,710122,Entire home/apt,,Grant Hill,0,,3,1.0,100.0,7,32.707801,-117.143686,2014-05-25 15:02:36.464
275567,710122,Entire home/apt,,Grant Hill,7,4.5,2,1.0,88.0,7,32.709102,-117.14232,2014-05-25 15:02:58.472
277830,1450470,Entire home/apt,,Mission Bay,2,4.5,5,2.0,196.0,2,32.772351,-117.252348,2014-05-25 14:34:31.719
278138,1451910,Private room,,Scripps Ranch,23,4.5,2,1.0,56.0,2,32.908378,-117.089808,2014-05-25 15:07:28.915
278144,1166392,Private room,,Midtown,20,4.5,3,1.0,72.0,2,32.747194,-117.160824,2014-05-25 15:09:46.973
278158,1451910,Private room,,Scripps Ranch,5,5.0,2,1.0,56.0,2,32.907451,-117.088123,2014-05-25 15:14:59.868
278161,1451910,Private room,,Scripps Ranch,3,4.5,2,1.0,95.0,2,32.908985,-117.088088,2014-05-25 15:16:09.502
279012,1451027,Entire home/apt,,Ocean Beach,6,5.0,6,3.0,235.0,3,32.733776,-117.244503,2014-05-25 15:51:16.753
281817,1468925,Entire home/apt,,South Park,73,5.0,2,1.0,100.0,2,32.728277,-117.122077,2014-05-25 15:46:37.711
289088,1501859,Entire home/apt,,Midtown,94,5.0,2,1.0,95.0,3,32.742447,-117.175469,2014-05-25 14:32:16.184
289371,830928,Entire home/apt,,La Jolla,17,5.0,6,2.0,245.0,2,32.848042,-117.272179,2014-05-25 14:41:29.817
292285,466847,Entire home/apt,,Loma Portal,1,,4,2.0,112.0,7,32.749166,-117.231265,2014-05-25 15:34:48.979
293128,1517206,Entire home/apt,,North Hills,11,4.5,4,1.0,118.0,1,32.755395,-117.145447,2014-05-25 14:09:59.194
293609,1502676,Entire home/apt,,North Hills,36,5.0,5,2.0,167.0,2,32.766054,-117.136379,2014-05-25 15:54:28.132
