room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1807119,9450642,Entire home/apt,,Pacific Beach,0,,4.0,1.0,237.0,5.0,32.799425,-117.257223,2016-02-23 06:54:53.453723
1718489,9060661,Private room,,Pacific Beach,65,5.0,1.0,1.0,70.0,1.0,32.807615,-117.257112,2016-02-23 06:54:25.908739
9151911,24293205,Private room,,Ocean Beach,2,5.0,2.0,1.0,55.0,1.0,32.739051,-117.254169,2016-02-23 06:53:56.746706
3480405,1623080,Entire home/apt,,North City,4,5.0,,4.0,325.0,2.0,32.96314,-117.241112,2016-02-23 06:53:53.299067
1579313,8401931,Entire home/apt,,South Park,117,5.0,2.0,1.0,99.0,2.0,32.729546,-117.125065,2016-02-23 06:53:28.457375
5386584,8004935,Entire home/apt,,City Heights West,58,4.5,,1.0,69.0,1.0,32.73782,-117.102482,2016-02-23 06:53:25.610989
3310338,11279312,Entire home/apt,,Balboa Park,19,4.5,2.0,1.0,89.0,2.0,32.740787,-117.143775,2016-02-23 06:53:08.695590
9775715,38690778,Entire home/apt,,Pacific Beach,0,,4.0,1.0,110.0,1.0,32.795826,-117.244648,2016-02-23 06:52:46.805145
6467143,1028287,Entire home/apt,,North Hills,0,,,3.0,470.0,4.0,32.742775,-117.138633,2016-02-23 06:52:34.636899
3781011,19397380,Entire home/apt,,Mission Bay,5,5.0,5.0,2.0,175.0,5.0,32.785326,-117.252782,2016-02-23 06:52:32.456326
7676106,27862421,Entire home/apt,,East Village,10,5.0,5.0,2.0,205.0,1.0,32.710472,-117.155949,2016-02-23 06:52:30.357792
4778052,24641179,Private room,,Bay Ho,13,4.5,1.0,1.0,46.0,1.0,32.813195,-117.201254,2016-02-23 06:52:06.824470
726663,10143,Entire home/apt,,Memorial,54,4.5,2.0,1.0,80.0,,32.701909,-117.129939,2016-02-23 06:52:02.413465
9514346,39780630,Private room,,Pacific Beach,2,3.0,3.0,1.0,120.0,1.0,32.795971,-117.246167,2016-02-23 06:51:46.118979
9611332,13305880,Entire home/apt,,La Jolla,1,5.0,,3.0,300.0,1.0,32.811035,-117.259579,2016-02-23 06:51:41.955389
1313895,6387344,Private room,,Grantville,45,5.0,2.0,1.0,50.0,1.0,32.788101,-117.107841,2016-02-23 06:51:21.459927
4254652,7108129,Entire home/apt,,La Jolla,14,5.0,,2.0,260.0,3.0,32.827915,-117.278338,2016-02-23 06:51:12.691596
6334649,32978529,Entire home/apt,,Linda Vista,4,4.5,,4.0,300.0,1.0,32.795467,-117.172713,2016-02-23 06:51:02.371227
3762435,17618378,Private room,,Kearny Mesa,20,5.0,1.0,1.0,42.0,2.0,32.81683,-117.157134,2016-02-23 06:50:40.620389
6438375,33613720,Entire home/apt,,Cortez Hill,1,5.0,3.0,1.0,200.0,2.0,32.720236,-117.158215,2016-02-23 06:50:11.338669
6857421,20924237,Private room,,Mira Mesa,13,5.0,2.0,1.0,45.0,,32.904633,-117.135829,2016-02-23 06:50:08.678787
6272140,8735628,Entire home/apt,,Mission Bay,1,5.0,,3.0,300.0,3.0,32.78163,-117.252437,2016-02-23 06:50:05.940834
9369467,37353287,Entire home/apt,,Pacific Beach,0,,3.0,1.0,222.0,1.0,32.802921,-117.258943,2016-02-23 06:49:59.679921
