room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9565781,2412718.0,Entire home/apt,,Clairemont Mesa,0,,,3.0,219.0,5.0,32.8326,-117.182766,2015-12-03 22:25:49.299541
8322587,3228820.0,Entire home/apt,,North Hills,5,5.0,5.0,2.0,150.0,1.0,32.738758,-117.123919,2015-12-03 22:25:41.026190
5928248,30780666.0,Entire home/apt,,East Village,1,5.0,,2.0,400.0,1.0,32.710826,-117.153578,2015-12-03 22:25:25.101235
7652368,19866479.0,Entire home/apt,,Pacific Beach,8,5.0,2.0,1.0,130.0,1.0,32.802744,-117.256762,2015-12-03 22:25:21.461499
9535188,7488829.0,Entire home/apt,,North Hills,0,,3.0,1.0,78.0,1.0,32.746667,-117.12793,2015-12-03 22:25:02.021133
1576848,8381999.0,Entire home/apt,,North Clairemont,1,5.0,,3.0,295.0,3.0,32.836991,-117.196817,2015-12-03 22:24:59.466652
6871405,13098454.0,Private room,,North Clairemont,10,4.5,1.0,1.0,33.0,1.0,32.838992,-117.191475,2015-12-03 22:24:40.432555
6183377,31235567.0,Entire home/apt,,Midtown District,16,4.0,4.0,1.0,99.0,,32.725042,-117.201675,2015-12-03 22:24:35.009338
8539440,31148752.0,Entire home/apt,,Pacific Beach,1,5.0,,3.0,316.0,30.0,32.797345,-117.244306,2015-12-03 22:24:23.319995
5556330,28784636.0,Private room,,East Village,29,5.0,2.0,1.0,95.0,2.0,32.711012,-117.154888,2015-12-03 22:23:47.852062
1326474,31656.0,Entire home/apt,,North Hills,2,4.0,4.0,2.0,300.0,1.0,32.753986,-117.139337,2015-12-03 22:23:27.692414
2811657,14381916.0,Entire home/apt,,Gaslamp Quarter,51,5.0,4.0,1.0,189.0,1.0,32.712052,-117.159345,2015-12-03 22:23:25.077934
7240493,16793346.0,Private room,,Midtown,0,,1.0,1.0,197.0,1.0,32.746001,-117.151413,2015-12-03 22:23:22.181831
4849213,5600502.0,Entire home/apt,,Mission Bay,1,4.0,,3.0,312.0,,32.761272,-117.252202,2015-12-03 22:23:13.267125
2965091,14081398.0,Entire home/apt,,Ocean Beach,8,5.0,4.0,1.0,199.0,3.0,32.752521,-117.252216,2015-12-03 22:23:10.588259
6365026,26935767.0,Private room,,Mission Valley,26,5.0,2.0,1.0,61.0,2.0,32.769149,-117.156623,2015-12-03 22:23:07.653545
4846911,3881880.0,Entire home/apt,,Mission Bay,1,4.0,4.0,2.0,80.0,5.0,32.79148,-117.23791,2015-12-03 22:23:04.950909
5834567,23758254.0,Private room,,Loma Portal,13,5.0,2.0,1.0,89.0,1.0,32.749116,-117.235647,2015-12-03 22:22:54.148618
7204394,37723139.0,Private room,,Little Italy,0,,2.0,1.0,800.0,5.0,32.725541,-117.168865,2015-12-03 22:22:49.078258
2451996,12537318.0,Entire home/apt,,Midtown,5,4.5,2.0,0.0,183.0,1.0,32.738082,-117.160326,2015-12-03 22:22:27.105947
8196763,43224953.0,Private room,,Midtown,1,4.0,2.0,1.0,45.0,1.0,32.749442,-117.160257,2015-12-03 22:21:44.074413
8540821,44392580.0,Private room,,University City,2,4.0,2.0,1.0,75.0,1.0,32.872759,-117.199785,2015-12-03 22:21:38.859611
7243954,37929242.0,Entire home/apt,,Cortez Hill,0,,2.0,0.0,200.0,1.0,32.72149,-117.165509,2015-12-03 22:21:24.498100
7181212,24745222.0,Private room,,Bay Ho,2,4.5,2.0,1.0,99.0,1.0,32.810108,-117.209096,2015-12-03 22:21:18.729048
798099,3881880.0,Private room,,Mission Bay,2,4.5,2.0,1.0,30.0,4.0,32.790344,-117.237291,2015-12-03 22:21:16.266730
8267866,39080787.0,Entire home/apt,,Mission Bay,4,4.5,,3.0,75.0,1.0,32.771838,-117.251045,2015-12-03 22:21:13.611248
5721117,29579147.0,Entire home/apt,,Midtown District,30,5.0,3.0,1.0,110.0,1.0,32.72525,-117.204847,2015-12-03 22:21:02.064459
8885138,22012010.0,Entire home/apt,,Mission Bay,0,,,3.0,425.0,3.0,32.779537,-117.252045,2015-12-03 22:20:59.350367
5615111,29104656.0,Private room,,Balboa Park,7,5.0,2.0,1.0,52.0,1.0,32.726632,-117.131705,2015-12-03 22:20:51.124066
8085324,2844611.0,Private room,,Pacific Beach,16,5.0,2.0,1.0,69.0,,32.797423,-117.246251,2015-12-03 22:20:48.100570
3835103,5148887.0,Entire home/apt,,West University Heights,6,5.0,2.0,1.0,110.0,2.0,32.76279,-117.145078,2015-12-03 22:20:41.133896
7095557,37191968.0,Private room,,Gaslamp Quarter,0,,2.0,1.0,550.0,2.0,32.711563,-117.160164,2015-12-03 22:20:26.478493
1729898,7333207.0,Entire home/apt,,Midtown,45,5.0,2.0,1.0,89.0,3.0,32.746564,-117.161972,2015-12-03 22:20:13.967972
2531704,12965379.0,Entire home/apt,,University City,47,4.5,,2.0,195.0,2.0,32.858711,-117.220771,2015-12-03 22:20:00.439611
7420724,37936673.0,Entire home/apt,,Clairemont Mesa,1,5.0,3.0,1.0,78.0,2.0,32.803215,-117.162386,2015-12-03 22:19:54.912362
7602018,39865214.0,Entire home/apt,,Loma Portal,0,,,3.0,250.0,3.0,32.741085,-117.240953,2015-12-03 22:19:17.464109
