room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7773761,33922679,Entire home/apt,,Ocean Beach,1,5.0,,3.0,265.0,2.0,32.754015,-117.246761,2015-10-05 13:33:33.764334
741131,1291828,Entire home/apt,,Linda Vista,44,4.5,2.0,1.0,85.0,3.0,32.794852,-117.172993,2015-10-03 23:44:49.126229
4158407,21580013,Entire home/apt,,Pacific Beach,0,,2.0,1.0,185.0,1.0,32.799087,-117.250208,2015-10-03 22:10:26.050349
7038281,36903816,Private room,,North Hills,17,5.0,2.0,1.0,50.0,1.0,32.757264,-117.131841,2015-10-05 01:45:49.533082
4455803,5537218,Entire home/apt,,Mission Bay,0,,,2.0,360.0,3.0,32.777489,-117.252634,2015-10-04 23:31:51.079119
4227074,21940059,Entire home/apt,,Ocean Beach,54,4.5,4.0,1.0,175.0,2.0,32.748524,-117.245009,2015-10-05 08:19:15.925493
346633,1334328,Entire home/apt,,Ocean Beach,7,5.0,,5.0,1375.0,4.0,32.728079,-117.253963,2015-10-05 11:03:37.258659
7791444,16543545,Entire home/apt,,Pacific Beach,2,4.5,4.0,1.0,140.0,1.0,32.796312,-117.249179,2015-10-05 05:19:25.313332
7707695,40489621,Entire home/apt,,Mission Bay,11,5.0,2.0,1.0,130.0,,32.789919,-117.253194,2015-10-04 06:56:29.471603
7245019,37934516,Private room,,East Village,0,,1.0,1.0,100.0,2.0,32.714636,-117.157083,2015-10-04 09:28:10.353630
1704176,8996667,Entire home/apt,,La Jolla,4,3.5,5.0,2.0,210.0,,32.855279,-117.257577,2015-10-05 15:54:24.048499
3116401,15076088,Private room,,Marina,10,5.0,2.0,1.0,120.0,1.0,32.714481,-117.166742,2015-10-05 15:29:16.835069
4607640,23875631,Entire home/apt,,North Hills,0,,2.0,1.0,120.0,1.0,32.746879,-117.127673,2015-10-04 13:29:39.072968
2093466,10213722,Entire home/apt,,Pacific Beach,6,5.0,2.0,1.0,143.0,1.0,32.801922,-117.241977,2015-10-04 15:35:47.854091
2413132,12320938,Private room,,La Jolla,72,4.5,2.0,1.0,79.0,2.0,32.820237,-117.244705,2015-10-05 09:58:55.297226
2728811,13262612,Entire home/apt,,Pacific Beach,37,4.5,4.0,1.0,139.0,1.0,32.801977,-117.247588,2015-10-05 17:11:15.706609
2208989,11267305,Entire home/apt,,Ocean Beach,46,5.0,2.0,1.0,159.0,1.0,32.734832,-117.249651,2015-10-05 09:09:55.077015
6466108,33773963,Private room,,Mission Valley,0,,2.0,1.0,125.0,1.0,32.759805,-117.174768,2015-10-04 04:02:00.262373
2279233,11638802,Private room,,North Hills,0,,2.0,1.0,80.0,1.0,32.764294,-117.130651,2015-10-05 15:44:05.489345
7036462,36890682,Private room,,Clairemont Mesa,2,4.5,4.0,1.0,89.0,2.0,32.828267,-117.169502,2015-10-04 02:28:15.875919
2875094,14695316,Entire home/apt,,North Hills,56,5.0,2.0,0.0,99.0,2.0,32.742007,-117.135415,2015-10-04 18:32:06.999264
1042107,2628520,Private room,,Mission Bay,70,4.5,2.0,1.0,125.0,3.0,32.77664,-117.252279,2015-10-04 04:34:55.275191
6747369,4845374,Private room,,University City,9,5.0,2.0,1.0,90.0,1.0,32.858644,-117.227894,2015-10-04 22:47:45.780314
2150987,1502676,Entire home/apt,,Normal Heights,59,5.0,,2.0,149.0,2.0,32.763871,-117.118759,2015-10-05 11:57:01.799382
4423720,1315611,Entire home/apt,,Park West,12,5.0,3.0,1.0,150.0,1.0,32.724669,-117.162899,2015-10-05 02:01:57.093667
5826007,9130536,Private room,,Loma Portal,0,,2.0,1.0,85.0,1.0,32.742306,-117.243932,2015-10-05 13:57:58.125201
1482943,3570259,Entire home/apt,,Midtown,42,5.0,2.0,1.0,95.0,,32.731945,-117.165699,2015-10-05 16:26:14.508951
