room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
12231752,1050,9229873,Entire home/apt,,San Diego,,Ocean Beach,0,0.0,2,0.0,,75.0,,2017-04-09 15:25:13.415480,32.75201,-117.250744,0101000020E6100000C4EA8F300C505DC0EA211ADD41604040
7746281,1050,33766373,Entire home/apt,,San Diego,,Normal Heights,117,5.0,3,0.0,,62.0,,2017-04-09 15:24:48.587569,32.764798,-117.12497,0101000020E6100000CBBE2B82FF475DC0EA059FE6E4614040
16161754,1050,38479155,Entire home/apt,,San Diego,,Midtown,18,4.5,3,0.0,,59.0,,2017-04-09 15:24:09.028213,32.749458,-117.157148,0101000020E610000070287CB60E4A5DC0DFDC5F3DEE5F4040
10654348,1050,55022632,Entire home/apt,,San Diego,,Balboa Park,1,0.0,2,0.0,,55.0,,2017-04-09 15:24:07.811740,32.71557,-117.143379,0101000020E6100000B9FB1C1F2D495DC0D6FF39CC975B4040
11800285,1050,13422416,Entire home/apt,,San Diego,,Pacific Beach,5,4.5,2,1.0,,43.0,,2017-04-09 15:24:07.807677,32.80632,-117.232387,0101000020E6100000FF40B96DDF4E5DC02C0E677E35674040
17005164,1050,113890867,Entire home/apt,,San Diego,,Bario Logan,14,5.0,5,1.0,,59.0,,2017-04-09 15:24:07.790651,32.698442,-117.142307,0101000020E61000007BBFD18E1B495DC09013268C66594040
8801044,1050,46040270,Entire home/apt,,San Diego,,Mission Bay,0,0.0,3,2.0,,51.0,,2017-04-09 15:24:06.571490,32.802285,-117.219856,0101000020E61000001475E61E124E5DC022895E46B1664040
17642806,1050,26928800,Entire home/apt,,San Diego,,City Heights East,0,0.0,4,1.0,,49.0,,2017-04-09 15:24:05.568016,32.746825,-117.080578,0101000020E6100000BCB1A03028455DC0E86A2BF6975F4040
17926124,1050,122915759,Entire home/apt,,San Diego,,Mission Bay,0,0.0,2,0.0,,60.0,,2017-04-09 15:24:05.564030,32.768213,-117.235036,0101000020E61000007D586FD40A4F5DC058AEB7CD54624040
5067088,1050,10665487,Entire home/apt,,San Diego,,North Hills,83,4.5,4,1.0,,55.0,,2017-04-09 15:24:05.558482,32.749966,-117.131719,0101000020E6100000C25087156E485DC0548EC9E2FE5F4040
15485766,1050,24656820,Entire home/apt,,San Diego,,Pacific Beach,5,5.0,2,0.0,,50.0,,2017-04-09 15:24:05.545990,32.796137,-117.234503,0101000020E610000017F4DE18024F5DC05A1135D1E7654040
17961439,1050,5178760,Entire home/apt,,San Diego,,Memorial,1,0.0,3,0.0,,45.0,,2017-04-09 15:24:03.920818,32.705541,-117.130596,0101000020E6100000423F53AF5B485DC05A7EE02A4F5A4040
14119498,1050,19518730,Entire home/apt,,San Diego,,Park West,18,4.5,2,0.0,,57.0,,2017-04-09 15:24:03.909003,32.730354,-117.160359,0101000020E6100000A2276552434A5DC05B40683D7C5D4040
9769335,1050,50372026,Entire home/apt,,San Diego,,North Hills,5,3.5,3,1.0,,50.0,,2017-04-09 15:24:03.906062,32.751833,-117.139822,0101000020E6100000B950F9D7F2485DC0DB8651103C604040
13686688,1050,5752940,Entire home/apt,,San Diego,,Midtown,9,5.0,2,1.0,,44.0,,2017-04-09 15:24:03.903726,32.746864,-117.151656,0101000020E6100000800F5EBBB4495DC0A647533D995F4040
2907629,1050,14854649,Entire home/apt,,San Diego,,North City,0,0.0,6,3.0,,10.0,,2017-04-09 15:24:00.003905,32.983575,-117.221575,0101000020E61000001EA7E8482E4E5DC0E4141DC9E57D4040
16495431,1050,99562280,Entire home/apt,,San Diego,,Chollas View,0,0.0,4,1.0,,37.0,,2017-04-09 15:23:59.995451,32.70738,-117.094624,0101000020E6100000AB5AD2510E465DC018EC866D8B5A4040
